,sentence,senti
10,Was too small for my daughter,2.0
11,I'm 5'4 145 pounds and I normally order a medium.,0.0
12,I had the hardest time pulling the bottoms up but other than really cute,2.0
13,Strings attached to each pair of mitts pulled off during first use.,2.0
14,It has NO stretch to it.,2.0
15,I hope you're pretty small!,2.0
16,Quality is not too bad.,0.0
17,Had to cut loose threads.,2.0
18,It is not a one size fit all.,2.0
19,If you wear a small then you are good.,2.0
20,"Any larger size needed, recommend buying a sized type lace thong.",2.0
21,smaller than appears on site.,2.0
22,"This bracelet is actually really pretty, but I have to give it three stars because it broke only after a few hours of wear...I couldn't fix it, so I don't know what to do with the bracelet...",2.0
23,"They scratch incredibly easy and they slip off your face because they're a little loose/big but aesthetically, they're gorgeous.",2.0
24,"I bought it for the ""stretch"", but it's too loose and stretches too much.",2.0
25,Over a couple washes the pictures started fading so I wasn't too happy with that but it was good while it lasted.,2.0
26,Light weight pajama material.,1.0
27,"Love that they have pockets, hate that after the first wash the logo started fading.",2.0
28,"Hood too small, or my head is too big.",2.0
29,"Very pretty, but much too big for the wrist of a young girl.",2.0
30,Slipped off too easily.,2.0
31,Fit is great.,1.0
32,"I use it for water aerobics and its life span is short, 2 to 3 months, needs a bit more of polyester to increase its life.",2.0
33,Have tried other brands and there appears to be a fine line between durability and comfortabity (fit) based on amount of polyester.,0.0
34,"These are very cute but because they ran so small and they were out of the next largest size, my grandson will not get as much wear out of them as I would've liked.",2.0
35,Cut is nice.,1.0
36,Fabric is a rather rough synthetic and too heavy for a sleeveless shirt that you would ideally wear in summer.,2.0
37,"Also, this is the kind of synthetic fabric that turns your sweat, which it will absorb because the underarm cut is HIGH, into something much worse smelling than your sweat.",2.0
38,"I really don't like this fabric, but the cut is pretty and if you're indoors, or out at night I suppose it would work.",2.0
39,Love the dress I just didn't realize the shoulders would be a little pointy.,1.0
40,They broke after two months of light wear.,2.0
41,The screws were loose to begin with and didn't last.,2.0
42,The whole suit is a bit tight especially the bottoms which enhanced the cheeky effect more than I desired.,2.0
43,"For the price, this was a good purchase but be careful about what size you order and consider going up a size or two.",2.0
44,A different material than expected.,2.0
45,It was sewn poorly,2.0
46,The cut isn't as deep as the picture shows which some may prefer anyway.,2.0
47,It runs small so order up a size.,2.0
48,I ordered the XL and it just fits.,1.0
49,The designs are cute but the Namaste shirt itself had two holes in the back of the shirt that weren't noticeable with the burnout design until I put the shirt on.,2.0
50,I only give it 3 stars because i only wore it 3 times and it already ripped.,2.0
51,But i love the fit.,1.0
52,I wish it would have lasted longer,2.0
53,Love the top!!,1.0
54,"The bottoms would have been better a size bigger, but I'm keeping it!",1.0
55,Fits well!,1.0
56,Material is thin but works well for layering.,1.0
57,"Very cute shirt, love the color, purchased the blue.",1.0
58,I normally wear a medium or large depending on how it is made.,0.0
59,I purchased a xl and it is still to small.,2.0
60,Not the material I was expecting.,2.0
61,The pants run small.,2.0
62,I decide to use them as lounge wear/ PJ's.,0.0
63,Size was bigger than expected,2.0
64,Fits a little odd,2.0
65,"It's pretty but it arrived too late, so I could use it for the event.",2.0
66,I ordered the aqua color sweater and it is not as bright as the photo.,2.0
67,The neckline is also very close to the neck.,2.0
68,The overall material is nice but it is an odd shape and very boxy.,2.0
69,Fair product but the original stainless steel,0.0
70,"Dress is adorable, fabric nice, detailing & workmanship is fine BUT it arrived with no tags whatsoever.",1.0
71,I don't know if its the size I ordered or not but it is too tight in the chest/bust area.,2.0
72,I ordered a size larger than I normally take to accomodate my size Ds but this dress was waaaay too tight.,2.0
73,I used their size guide & went one bigger hoping it would fit.,2.0
74,"It fit and stayed on my bust, but it was so tight around my belly and the rest of me, it wasn't going to work.",2.0
75,It was also very short.,2.0
76,"I'm pretty average height (5'6"") and it only came down to my calves.",0.0
77,"I wanted to love these, but they have not worked out for me.",2.0
78,I ordered the smaller size and they fit too loosely over my glasses.,2.0
79,I constantly have to secure them over my prescription glasses.,2.0
80,The bottom is too small.,2.0
81,I ordered a Medium and it fit well.,1.0
82,"It was made kind of sloppy, though.",2.0
83,There is a zipper along the side that flared outwards near the armpit.,2.0
84,I had to sew it straight (closed it) and the other side seam was not sewn near the last 1/2 inch near the armpit.,2.0
85,"Overall, taking in both side seams near the armpits was helpful because it flared outwards as if it was too big, only in those spots.",2.0
86,"The dress is stretchy, so I was still able to slip it over my head after sewing the zipper shut in order to straighten out the sides.",2.0
87,Wearing a bra is difficult with this.,2.0
88,I resorted to wearing a strapless bra.,2.0
89,"It's a cute casual dress, but not something I'd wear to a nice event.",2.0
90,"It definitely arrived quickly, that's true.",1.0
91,But it was way too small for my any of my fingers except my pinky which I'm not too thrilled about and the actual engraving on the ring wasn't that great either.,2.0
92,"Super cute, but way too small.",2.0
93,"I ordered size 6, but it's like a 4.",2.0
94,"My 5 years old wore it to school once, but will have to pass it to her 3 years old sister.",2.0
95,"I will keep it to wear as an exercise shirt under another, but not as a bathing suit top.",2.0
96,Its too small for that.,2.0
97,I even got a size larger than I usually wear.,2.0
98,The socks have a slight roll at the top.,2.0
99,Quality is not very good.,2.0
100,Material is very thin.,0.0
101,So I cut slits in the top and I sleep in it...,2.0
102,Clothes I've ordered so far don't be the actual size.,2.0
103,"I thought the chain was going to be a little more delicate and it tangles very easily, but other than that i love it!",1.0
104,Definitely not made for anyone with breasts.,2.0
105,"The plaid pattern is hard to imagine under any dress like a slip, but the entire thing is sheer, so... Not really sure how it's meant to be worn.",2.0
106,alot bigger than expexted,2.0
107,They appear much larger than in person.,2.0
108,It fits!,1.0
109,"But the collar bone was on my chest, the knees were on my thighs, and the legs stopped on my calf.",2.0
110,The pendant was fine but the chain is cheaply made and broke a few days after my 9 year old wore it.,2.0
111,shoe is extremely wide.,2.0
112,Bigger in person than I imagined...not good earrings for talking on the phone,2.0
113,I order the color Lace 2 it  was exactly as described on amazon.,1.0
114,I am 5ft 5 about 125 lbs and the small fit nicely with room to spare.,2.0
115,"Very pretty floral lace design lightweight, soft, and comfortable.",1.0
116,"It is gorgeous, but not for me.",2.0
117,The sleeves are about three-quarter length sleeves.,0.0
118,The material is made out of chiffon which is lightweight and breathable material works well as a beach cover up or as a regular cardigan to protect your skin from the sun.,1.0
119,It looks like it is made of high-quality material and the lace detail is very pretty.,1.0
120,"The only complaint is it had a strong weird smell, like dirt or dust my allergies started acting up it caused me to sneeze a lot, but that is just me I have a very sensitive nose.",2.0
121,"Nice bathing suit... top runs small, bottom runs big",2.0
122,fits well & looks good.,1.0
123,"However the first time I wore it I was at work when I discovered that on of the seams along the side in the hip area had not been properly sewn and there way about a 2"" hole there.",2.0
124,Retired it because it was too large.,2.0
125,The top of this dress does not match the bottom in terms of sizing.,2.0
126,I bought a medium dress and when I put it on the bust area was more of an extra large and the bottom area near a small.,2.0
127,Good quality material though.,1.0
128,The case is a bit too bulky but it is one of a few that can fit 100mm cigarettes.,2.0
129,"It is made in China and quality is not the best, but it is quite decent.",2.0
130,"I'm 5'9'', thin to average weight, depending on the brand I can buy jeans size 29 through 32, 31 being the size I get most often and that's the size I ordered for these jeans.",0.0
131,"They fit perfectly, but they are certainly not slim fit or even ""stylish"" (pictures attached).",2.0
132,"The cut is rather straight, I'd say, especially when compared to other slim fit jeans made in Asia that I've gotten through Amazon.",2.0
133,"They seem to be quite durable, so $20 is a good price for a pair of jeans, it's just not really what I expected regarding how they look.",2.0
134,"Half of the socks fit great, but the other half were way too big.",2.0
135,If they were all the correct size I would have rated higher.,2.0
136,Be prepared for shreds of material to come out of robe.,2.0
137,"Of course, I washed it before giving it to my grandson but not before shreds of the robe were all over the bedspread where I opened the package.",2.0
138,Very cute top but very very small.,2.0
139,I ordered a large & it fits like a small.,2.0
140,Good price so I will give it to a friend rather than return it.,0.0
141,The fabric is a little thin for my taste but I would expect it to be cool to wear in warmer weather.,1.0
142,This style is definitely for taller silhouettes.,0.0
143,"I'm 4'10"" and it didn't look great on me, almost clownish, so I returned it and received a full refund.",2.0
144,"Very soft, durable and has a laptop sleeve BUT unlike my other backpack with a laptop sleeve, this one is not protected at all.",2.0
145,There's no hardboard backing to the back of this bag so be very careful when you put your laptop in.,2.0
146,Oh and the strap - at least my left one: CONTINUOUSLY loosens on its own.,2.0
147,The metal rectangle that holds it in place (where you tighten) keeps turning/rotating 90% so it loosens the entire strap and will NOT tighten.,2.0
148,I have to fix it almost 2 out of 3 times I use this bag (even briefly for 1-2 hours each time).,2.0
149,No stretchy...,2.0
150,Very cute and still fits but very hard to get in and out of.,2.0
151,The swimsuit looks great.,1.0
152,"Good color and fit (I'm a size 8, so I ordered up and got an XL.",1.0
153,"They shipped a Large, but it fits fine) the only problem I have is the material.",2.0
154,There is NO WAY this suit is any more than 5% polyester or spandex.,2.0
155,"The material is cheap, cheap, cheap.",2.0
156,It doesn't even feel like it would dry if wet.,2.0
157,"It is made of the same material as the little princess dresses that are ""silk"" that you would buy your 4 year old daughter to play dress up in.",2.0
158,"But if you actually want to swim or get it wet, this is not the suit for you.",2.0
159,it was flimsy and not as pretty,2.0
160,The slots are very tight and after struggling to get my cards in it was impossible to get them out.,2.0
161,Runs big should have got a smaller size.,2.0
162,Asides from that it was beautiful,1.0
163,It photographs great but when I received it I found the material to be cheap.,2.0
164,Beautiful dress.,1.0
165,Well put together.,1.0
166,But still a little tight in the top and bottom areas.,2.0
167,"Wish all over seas company's would understand that American women, most of them, come in large sizes.",2.0
168,Meaning a size 16 here is the same as their XXXLarge.in most cases.,2.0
169,"With all of the over seas Companies making each size different, its hard to figure out what size to order from them  In the USA,  a size 16 is what it says.",2.0
170,Not impressed w the fabric.,0.0
171,Too warm for the summer on a hot day.probably would look best on a very thin body as the dress is smaller than expected........,0.0
172,"This is differently something that people with bigger boobs don't need, they don't fit as well.",0.0
173,Material is on the thin side.,0.0
174,"I selected the navy blue shirt and received a navy blue and white striped shirt with a collar and a bear on the breast with the words ""little brother"".",0.0
175,It'll do but I'd really rather have just received the plain shirt I selected.,0.0
176,Very wrinkled and hand washing makes it even worse.,2.0
177,This dress fits great and easy to wear.,1.0
178,I'm a XL or a 12 and I purchased a xxl.,0.0
179,"Hook gave trouble and had to be replaced but other than that, it's not bad",0.0
180,Ok gloves made by a small child... probably.,2.0
181,Not really flexible.,0.0
182,Just ok. Design true to picture.,1.0
183,But much bulkier than I thought.,2.0
184,"Well I knew I was pushing it with the sizing when I bought it, but my main issue was that it is neon, not emerald, and I was hoping for a deep Slytherin green.",2.0
185,"Its a pretty enough bright green, but it also swishes when you move.",2.0
186,"And I cannot recommend this to a lady my size, I'm a size12-14, it fits but manages to flatten my butt, and does no similar feat for my stomach.",2.0
187,"The size range they list are absolute Maximums, any larger and it will compress you to that size, which looks pretty bad on me.",0.0
188,I was disappointed once I tried it on and it was wayyyyyyyyyy to tight.,2.0
189,"I used the sizing chart provided and even ordered a size up, no dice!",0.0
190,It was way to tight over the bust area and the arms seemed to be cut really small.,2.0
191,I would say if you are going to order this shirt order it 2 - 3 sizes bigger.,0.0
192,I am kind of bummed that it didn't fit.,2.0
193,It wound up breaking 4 days later.,2.0
194,It's beautiful but way too big !,2.0
195,Got a XL should of got m or L,0.0
196,Runs small,0.0
197,"The style is cute  but it fits too small the size cut small  I  order the a extra large size I was Suprise  that it didn't  fit,the material  could be a  better quality,  I have returned  the dress back still waiting  for my refund",0.0
198,"However, the material of the shirt feels like a raincoat.",2.0
199,The color is true to the image (I got the light pink).,1.0
200,But the waistline is a mess.,2.0
201,The elastic is all janky and lopsided.,2.0
202,It looks like a home-ec project done by a 12 year old.,2.0
203,No self respecting adult would wear that waist band.,2.0
204,Items is great however it runs a lot larger than expected.,2.0
205,I reviewed numerous over reviews so I ordered a size down than what I typically would and it is still a bit big.,2.0
206,"However,  other than being a bit larger it looks good.",1.0
207,Its ok but because it's small I haveto keep pulling it down or it falls off my head.,2.0
208,It fits my teen daughter just fine tho.,1.0
209,Kinda Musty - I had to wash it and soak it in fabric softener to get rid of the smell.,2.0
210,Otherwise its great!,1.0
211,"Very good material, but the dress old fashion style.",1.0
212,Not as sexy as it looks.,2.0
213,a bit smaller than expected,2.0
214,I had to get a smaller size for my 4 yr old granddaughter.,0.0
215,I size 4 was too big.,2.0
216,When I pulled it apart the color where the skirt had stuck together was damaged.,2.0
217,About a cup size too small,2.0
218,"The crown on the hat I received is 3"" deep - not 4.5"" as stated.",2.0
219,This makes a big difference in the look and fit of the hat.,0.0
220,"The brim is also much straighter than it looks in the photos, so it fits kind of like a cloche hat.",2.0
221,"I'm a woman so I'm okay with that, but I can't imagine a man wearing this.",0.0
222,"It didn't look like I thought it would, and the material was a bit cheap feeling.",2.0
223,You can barely see the detail of the straps.,2.0
224,Cheaper looking than expected.,2.0
225,Will work great after some fixing.,0.0
226,Definitely did not look like the picture.,2.0
227,The top portion is a bit see through.,0.0
228,It's beautiful but a bit cheaply made.,2.0
229,But the bottom was smaller so if you have thick thighs it's a no...,2.0
230,I washed it once and it fell apart... Do not buy unless you only want it to wear once...,2.0
231,This is a super cute top but it is so small!,2.0
232,I ordered a size up and it is too tight across my bust.,2.0
233,"They are slightly bigger than expected, and seem cheaply made, but have been durable so far.",2.0
234,Am looking for magnetic clasps to replace what is on them as the current ones make them hard to put on snugly.,2.0
235,"A little more sheer than expected, but I always wear long tops with leggings, so not a very big deal.",2.0
236,Image and text are pretty pixilated...I have seen the image before it looks like a low res copy.,2.0
237,"My daughter absolutely Loved the shoes, however, the plastic pulled from the toe and I had to send them back.",2.0
238,Fits okay..size chart a little off...,0.0
239,little bit more vibrant then I thought,1.0
240,"Cute when brand new, but not so after the laundry cycle.",2.0
241,"The rouching got more out of shape with every trip through the washer and dryer: tight in some spots, baggy in others.",2.0
242,OK for a single occasion where you want baby to have cute little Mary Jane feet.,0.0
243,Size runs a little small.,2.0
244,"Sleeves are a little  long, go figure.",2.0
245,"Smaller then expected , and color is not that noticeable !",2.0
246,U have to have a very short torso,0.0
247,I wish there was a size X small.,0.0
248,The small/medium was perfect right after my section but once the fluid was off my belly the small medium doesn't give the compression to my scar that I would like.,1.0
249,"Really cute bathing suit, although it runs a little small and I wish the tassels were longer.",2.0
250,"I read some reviews advancing to size up because it was small, so I did, and I ended up with a s*** two sizes bigger than I needed.",0.0
251,I guess it depends on your body proportions.,0.0
252,Also this blouse is not all that pretty in person but I will definitely wear it sometime,2.0
253,"I'm starting off on the second row of hooks already, as the first row is too big.",2.0
254,"Not sure that if I'd ordered the Small, it would have fit at all.",1.0
255,I have a size Med Squeem that is now too big but the size Small is too small so I opted for this one because it has 3 rows of hooks.,2.0
256,Squeem should make theirs with 3 rows as well.,1.0
257,It's a lot softer on the inside than my Squeem.,1.0
258,"After putting it on, it bunched up in the back and the sides.",2.0
259,"Didn't have as much compression as I prefer, maybe because the material felt so lightweight?",2.0
260,"I love the shirt, but for some reason it took a REALLY REALLY long time to ship",2.0
261,All I have to say is I should have gotten an Extra Large.,2.0
262,One issue is that the zipper gets stuck easily.,2.0
263,The colors online are very accurate to what you get.,1.0
264,The colors don't bleed or anything.,2.0
265,"All the reviews said to follow the size chart because it tends to run small, so I did and the shirt is way too large for me.",2.0
266,Extra Large fit as a normal large would have been.,0.0
267,Could have been just a tad bigger.,2.0
268,Fits okay but the fabric is too stiff,2.0
269,"Lava Beads and Glass Beads are really nice, but the Hamsa Hand is made of plastic not metal which means eventually the silver paint will come off.",2.0
270,The elastic strings that the beads are threaded on is starting to frey so I don't wear much.,2.0
271,I may cut them open and re thread on the clear plastic stretchy string and replace the plastic Hamsa Hands with metal ones.,0.0
272,"I really liked the print and have worn it a couple times but, I am really disappointed in the fabric.",2.0
273,"The fabric shown in the picture shows a light, cotton blend that you can slightly see through but, that is not close to what I received.",2.0
274,It seems to be a pretty hardy blend though.,2.0
275,Will update if it wears or washes out quickly.,2.0
276,** grey sweater with colorful sleeves **,1.0
277,Fabric ok. Not at all as presented in picture.,1.0
278,Really not one size fits all.,2.0
279,You should show the label in order to recognize the correct size,0.0
280,Build quality seems fine to me.,1.0
281,"They are easy to adjust, and I usually forget I'm wearing them they're so comfortable.",1.0
282,"As others have said, the fasteners here will only work on verrrry thin socks, or, as long as the top 1"" of your socks are very thin.",2.0
283,"Like, on a scale of 1-10, 1 being women's panty hose and 10 being thick wool boot/winter socks, your socks couldn't be much thicker than a 2.",2.0
284,"I guess the designers opted for this fastener design so as to reduce risk of damage to the socks attached to them, whereas something simpler and stronger like alligator clips would eventually eat through a sock.",2.0
285,I am petite and this was to long for me.,2.0
286,"I have a slender build and small chest, and the dress seems to droop awkwardly in the front between the neckline and the waistline.",2.0
287,"I think it can be altered to fit better, but would recommend ordering smaller than you normally wear if you have a smaller build.",0.0
288,Good quality tights for the price.,1.0
289,Waist is small and does not stretch a lot.,2.0
290,it's a bit difficult getting past my upper thighs and butt.,2.0
291,So perhaps medium would've been better.,1.0
292,It was completely sheer and I am a c-cup and it was too tight even in an XL.,2.0
293,But I ordered through Prime and didn't get them until 7 days later.,2.0
294,"Not the greatest quality, but you get what you pay for.",2.0
295,"I'm a curvy size four and the small was too tight, so I would recommend ordering up.",2.0
296,Cute suit ..but way toooooo small.,2.0
297,Be sure to order 2 sizes up to get close!,0.0
298,beautiful dress but way too long and would be impossible to shorten and save bottom.,2.0
299,too small.,2.0
300,I like them and they fit okay but are a bit tight.,2.0
301,The toe box is wide enough but not deep and the shoe is not quite as lengthy as the old shoe of the same size.,2.0
302,"I was under the impression this was gonna be more of a sweatshirt, but it's pretty thin material.",2.0
303,This product ships from China and the sizing is for small busted women.,2.0
304,Thin fabric,2.0
305,Bottoms fit but the top runs small,2.0
306,Took over a month to get here !,2.0
307,"The material is pretty cheap too, as if the pattern part is gonna come off shortly.",2.0
308,I love this print and have it in a top.,1.0
309,"The ""leggings"" are thin, made of a similar material to the top.",2.0
310,These pants are similar to a pantyhose feel!,2.0
311,Very thin but not too see through.,2.0
312,Pretty snug for an XL.,2.0
313,It's what I would normally wear but felt more like a M/L size.,0.0
314,I thought this was really poor quality and super ugly when it first showed up on my door step.,2.0
315,Still not the highest quality but looks way better than it originally did.,1.0
316,Too snug.,2.0
317,Needed  next size.,2.0
318,"too tight...i am 5'4, 120 lbs.",2.0
319,"zipper on the side, too tight for me.",2.0
320,i purchased a small size.,2.0
321,i aint crazy about the fabric.,0.0
322,But like price like fabric,1.0
323,alot shorter that it shows in the picture,2.0
324,"Normally she is a size medium Juniors...5'3"" and 125 lbs.",0.0
325,It just fits without being bagging...,0.0
326,The top portion come up to the nape of the neck and is intended for a taller person for that and armholes...,2.0
327,I love this necklace.,1.0
328,"However, it arrived missing a skull almost dead center, hence only three stars instead of five.",2.0
329,"I simply removed a skull from each side, and used one to fill the empty spot.",2.0
330,little heavy for 5 y.o.,2.0
331,"girl, but nice and colorful.",1.0
332,"Very cute, just smaller than pictured and inscription is difficult to read.",2.0
333,feels kinda flimsy in your hand but works great.,2.0
334,Cute but the color is a little dull compared to the picture,2.0
335,"The top itself is pretty and the material is good, very flowy.",1.0
336,Just didn't fit well.,2.0
337,Too baggy,2.0
338,These shirts are definitely cheap.,1.0
339,Stitching is sloppy especially at the shoulders and the back panel overlaps to the front on the side of the shirt which looks just a bit awkward.,2.0
340,"The red is dark, not unlike blood, not too bright, very pretty.",1.0
341,The white is bright and cool.,1.0
342,"The fabric is smooth and flowy, very soft and comfortable.",1.0
343,That detail is pretty minor.,2.0
344,"I would still wear the shirt even without this alteration, I am just quite picky and lucky my mom happens to be a seamstress.",1.0
345,"I ordered size M.  I am 5'2"", 125 lbs.",0.0
346,They fit me well.,1.0
347,"Looks like it was cut for a child, would have liked it if it fit the right way",1.0
348,"Looks too yellow, but very sturdy and well made",1.0
349,I am true size 6.,0.0
0,Lightweight and smart.,1.0
1,"Fits well, looks great!",1.0
2,Simply beautiful,1.0
3,"Love this top, it's fabulous, just buy it!",1.0
4,It fit perfectly and it may have took longer than I thought but the shirt was worth the wait.,1.0
5,"I can't get over the design, it's so nice and I love it.",1.0
6,Fit perfect and true to size.,1.0
7,Great T for the price!,1.0
8,Fits petfect!,1.0
9,I love this purse.,1.0
10,I never spend a lot of money on myself because I'd rather spend it on my kids but these purse was worth every penny.,1.0
11,I've had it for months and its holding up and its just an all around good purse.,1.0
12,so far i've had this for 3 months and it's still going strong.,1.0
13,perfect size for clipping onto my bag or shirt or wherever so i can get a quick time update,1.0
14,I love looking at starry skies an have seen pics of nebula.,1.0
15,"If u like astronomy u will really think it's a cool pendant, a definite conversation piece",1.0
16,This is the second pair of sunglasses that I have bought for my little guy.,1.0
17,They fit him well and he leaves them on.,1.0
18,I don't worry about him breaking them either as they are flexible.,1.0
19,I love this style from Calvin Klein..I wish they would have more.,1.0
20,Wear this style when I bowl and then I can wear it for a night out with my husband.,1.0
21,Great look for work too.,1.0
22,Nice piece if costume jewelry.,1.0
23,I just love this handbag and the wallet too!,1.0
24,Lots of options on how tight you want to go since there are no defined holes.,1.0
25,Beautiful red color.,1.0
26,Super fast delivery and great price!,1.0
27,Very nice price for quality tee shirts...,1.0
28,Washed and dried them before wearing no shrinking no wrinkles.....,1.0
29,Cute and unique,1.0
30,I am in love with my purchase.,1.0
31,Does not look fake and it even a little heavy which I love.,1.0
32,Necklace laying jst perfect on neck.,1.0
33,Can use it with any garment from a casual wear to night out in a black dress.,1.0
34,"I needed a dress last minute and gave this a shot - I thought for $7 it might be cheap, but it looks nice.",1.0
35,My daughter is a 4T and this fits as expected.,1.0
36,Tulle layer over polyester.,1.0
37,Got all 100 14g plastic ball tongue rings.,1.0
38,Lots of different designs and colors.,1.0
39,"Yes Fit as expected
my son is a 2x size because I read the reviews I order him a 4x and it was perfect",1.0
40,My 3 year old son adores this Disney Frozen Snowflake Olaf knit cap and mitts set.,1.0
41,"Quality product, worth the cost.",1.0
42,Not sure if they updated sizing but I ordered 4-6yrs old and they fit my 4 & 6yr old perfectly could have possibly gone up a size for growing.,1.0
43,I always had a hat to put on when ya know the hair situation is not what your hoping for and i lost it.,1.0
44,this hat has made it all better.,1.0
45,super cheap and the adjustable sliding strap makes it a perfect fit.,1.0
46,"These look nice, don't bother my ears at all, and are a good quality for the price.",1.0
47,Very happy with my purchase,1.0
48,"These are AMAZING pants: Soft, non-wrinkly, BEAUTIFUL COLOR, good craftsmanship on sewing, and I am so comfy in it.",1.0
49,this scarf was so warm and so cute with a plain tee shirt or an ivory Ella shirt.,1.0
50,it makes me feel so warm and I love it to death!,1.0
51,stylish and cute!,1.0
52,I get compliments on these where ever I go!,1.0
53,They are so bad ass in real life and comfy.,1.0
54,"good quality, looks expensive.",1.0
55,a tad bit bigger than expected but an amazing shirt,1.0
56,This product is amazing.,1.0
57,everything about it screams luxury.,1.0
58,"It fit well, and was absolutely darling!",1.0
59,"I ordered according to the size chart, and it fits perfectly.",1.0
60,"If you are wanting it to be a little loose, I suggest going up a size.",1.0
61,Excellent belt.,1.0
62,More comfortable than a regular bra,1.0
63,"I am usually a women's medium, this XL is a perfect fit in shoulders, sleeve length.",1.0
64,"I'm 5'5 and 130lbs, and purchased a size medium.",1.0
65,It fits perfect!,1.0
66,Beautiful and well made!,1.0
67,Love this ring!,1.0
68,A quality piece.,1.0
69,Great set of chain and bracelet.,1.0
70,Great price too!,1.0
71,AWESOME HOOPS.,1.0
72,THIS IS THE BEST SHIRT IN EXISTENCE AT THE MOMENT.,1.0
73,I love my top,1.0
74,good design and color little jarger fit but would rather have large than small side.,1.0
75,"The shape has held up well, the fit is perfect for an 11 year old girl, and the quality is high.",1.0
76,Look great.,1.0
77,So did she....VERY BEAUTIFUL!,1.0
78,I love them but didn't think they made these anymore until I found them on Amazon.,1.0
79,"Northern Winters are very cold, and I will never be without a pair of your EAR MITTS again.",1.0
80,This is gorgeous!,1.0
81,"But as far as the appearance and quality, it looks great!",1.0
82,"These jeans are super nice I love them,  they fit perfectly and I get compliments about them.",1.0
83,"I ordered the pink color,  it's a nice soft pink color, now I need the khaki color,  I need every color.",1.0
84,"I have to also mention that the material is soft and stretchy,  very comfortable.",1.0
85,"I'm 5'5  155lbs , I'm very ""hippy"" with big butt and I ordered the size 7 and it fits just right.",1.0
86,Love the print; fit just right.,1.0
87,"Fit was great, padding was great for long rides, legs stay where they are supposed to be and don't ride up!!",1.0
88,Fits as expected.,1.0
89,It's light and comfortable.,1.0
90,Bought size 12 months for my 20-pounder and they are terrific!,1.0
91,"They fit him and he still has room to grow, so we will get plenty of use out of them.",1.0
92,Got me through nine months and I was even able to wear one pair of pre pregnancy jeans all the way through because of this!,1.0
93,Cute dress and accurate sizing.,1.0
94,Very happy with this item.,1.0
95,This is the coolest looking necklace ever!,1.0
96,Totally blown away by it.,1.0
97,Bought it a while ago and hasn't broken like my other chains I like it.,1.0
98,"My husband is Large, but I read the reviews before that I buy it and bought the XL, which fits him perfectly...",1.0
99,This is a beautiful pendant.,1.0
100,"The colors, in person, are as vivid as the product image.",1.0
101,"The chain is the weight of inexpensive costume jewelry, but is sturdy and bright.",1.0
102,"Although I purchased it as the centerpiece of bedroom mirror decor for spiritual reasons, I'd have few concerns about the necklace breaking with repeated wear.",1.0
103,Great shirt but size up.,1.0
104,It runs small but per other reviews I expected that and ordered larger.,1.0
105,Very comfortable and cute.,1.0
106,Definitely made for small chested people add this will literally be the very first swimsuit ice owned since puberty to actually fit my practically flat chest,1.0
107,Fits everything I need.,1.0
108,Very happy with the looks of this coverup.,1.0
109,I didn't expect to look this good!,1.0
110,I love how it fits and isn't uncomfortable!,1.0
111,"This belt is beautiful, exactly as shown.",1.0
112,Great price too!,1.0
113,"Great, fits like a glove",1.0
114,"fits perfect, and dress is well-made!",1.0
115,Excellent quality!,1.0
116,Bought a larger size so my 3rd generation cousin will be able to wear for Easter.,1.0
117,Mother is very pleased and loves that it is purple.,1.0
118,Love it best belt I have ever owned,1.0
119,Great quality for the price.,1.0
120,"Still looks good after many washes , fits true to size .",1.0
121,My husband was very happy when I got him this shirt.,1.0
122,LOVE this so much.,1.0
123,I wish all lingerie made me feel this way!,1.0
124,Very cute and soft!,1.0
125,Very comfortable fit.,1.0
126,The purse is adorable and very well made.,1.0
127,My Great-Niece loved it!,1.0
128,They were surprisingly sturdier than I thought they would be and they don't slide off my nose like I was afraid they would.,1.0
129,One of my fave purchases,1.0
130,Very good product!,1.0
131,"If you are like me who likes to wear wedding ring everyday, this is really the right choice!",1.0
132,"The price is low, so you never need to worry about losing it.",1.0
133,"On the other hand, it does not look cheap.",1.0
134,"Pretty, as bright as my white gold ring.",1.0
135,"liked it but it was too small, and I wanted a longer length",1.0
136,Love this tank,1.0
137,Love this dress!!!,1.0
138,Super comfy & fit better than I expected.,1.0
139,True to size.,1.0
140,Women's Universal pants are well-made and comfortable.,1.0
141,I love the bamboo fabric because it wears beautifully and it's so soft.,1.0
142,A good investment in your casual wardrobe..,1.0
143,"Cheap, but very cute.",1.0
144,Looks expensive.,1.0
145,Very roomy!!,1.0
146,The material it great also,1.0
147,The material is good fit as expected and come earlier than I thought love this shoes,1.0
148,Very pretty and well made.,1.0
149,Fits nice and comfortably around my wrist.,1.0
150,Yes it fits well,1.0
151,"Look great on a woman who has nice nipple's And feel great on me, but they act as stirups, very comfortable.",1.0
152,Love the color and they fit perfectly!!,1.0
153,These shoes are beautiful.,1.0
154,The glitter is well placed and does not end up all over the place.,1.0
155,Love this purse !,1.0
156,"But you can put your money keys and loose powder in it , etc !",1.0
157,I love my dress,1.0
158,perfect for me and my girlfriend :D,1.0
159,The design is not as clearly shown in person as in the photo on-line but still a great ring for the price!,1.0
160,Bought it to wear as a thumb band last year and am still wearing it.,1.0
161,Other than normal wear and tear it is looking good!,1.0
162,Very nice product.,1.0
163,I was impressed by the quality.,1.0
164,just received my wallet and its gorgeous.,1.0
165,its made very well with great quality material.,1.0
166,"the skull charm is nice and heavy,the bat detail is great the colors are nice and bright.",1.0
